TAHUN,NOMOR_URUT,DAERAH,PAJAK_ANGGARAN,PAJAK_REALISASI,RETRIBUSI_ANGGARAN,RETRIBUSI_REALISASI,KEKAYAAN_ANGGARAN,KEKAYAAN_REALISASI,LAIN_ANGGARAN,LAIN_REALISASI
2025,25,Kota Depok,2078460982843.5,1825737621442.0,264522012713.0,208591847374.0,22089910672.0,22089910672.0,36068061686.43,74183308390.0
2025,26,Kota Sukabumi,128969498745.0,126001620573.0,40725054378.0,35742967686.0,4677922257.0,4677922257.0,315385441648.0,284727504483.0
2025,27,Kota Tasikmalaya,241435214904.0,161581314486.0,32020516807.0,17761756425.0,5732059363.0,6066249069.0,175081974691.0,129317714605.38
2025,XIII,Prov. Banten,6253493581987.0,5623438315552.0,287906730367.0,289729770217.12,49444843000.0,51598879729.0,343934086891.0,234120741466.75
2025,1,Kab. Lebak,232237758261.0,223967676155.32,270552059520.0,227709368651.0,5335978126.0,5335978126.0,7958390302.0,12013924776.15
2025,2,Kab. Pandeglang,168318173746.0,135435210052.0,24060983887.0,18556116361.0,11790457749.0,10146774578.0,141907270888.0,96612312008.0
2025,3,Kab. Serang,725174381504.0,674071648895.0,252142584022.0,232660676526.0,18932083377.0,14448454025.0,101301093311.0,72398778185.0
2025,4,Kab. Tangerang,4123570000000.0,4207210955811.0,204203623497.0,219079248721.0,60739592373.0,60739592375.0,760205363844.0,757311426742.51
2025,5,Kota Cilegon,734028708008.0,754488747196.0,142528462795.0,133053345628.0,26294609910.0,26942025996.0,18981657778.0,18563171837.0
2025,6,Kota Serang,341210707703.0,313073490127.92,69532635685.0,53496651491.91,1937562215.0,1204953030.0,12773427782.0,14046712347.77
2025,7,Kota Tangerang,2711467371235.0,2669964268930.0,272755882919.0,273864199802.0,17519908779.0,17601664472.0,36469343498.0,59352385407.0
2025,8,Kota Tangerang Selatan,2685634995643.0,2719304227492.0,152212272464.0,131042087044.0,629151223.0,629151223.0,136782038802.0,138813786569.0
